Comment,Rate,Time,User
Mình củng bị  oxi hóa chân sạc nổi rỉ màu xanh sạc ko dc. Mấy e bảo hành ss củng nói máy bị ẩm mình tẩn mấy e bảo hành với nv tgdd hết 1 tuần mới chịu thay bh. Các bạn phải làm mạnh nó mới bh nhiều người bị rùi.mình dọa tẩy chai hảng ss nó mới sợ ,0,29/02/2020,Phan Trí
,0,,
"Máy dùng ngon! Cam ổn, pin ổn! 
Do ko có nhu cầu game nên ko test! 
Cũng ko thấy hiện tượng lag giật gì!",5,28/11/2019,Dương quốc hưng
,0,,
" Mik moi mua con A50 này
 Chụp ảnh như sác chết, gọi mesesg như xác chết
 Chạy mượt sài ok
Gét mỗi camera nhìn như mặt ng chết
",4,26/11/2019,Duy Anh
,0,,
mới mua mà máy ko tự khoá màn hình được máy hơi nóng dùng không bằng xiaomi tầm giá,3,24/11/2019,bùi văn cường
"Nut cam ung van tay qua tệ, chup anh xau. Moi mua hom qua, ra doi lai may khac mat phi ko ạ. Ko hai long sp lăm",1,16/04/2019,Phuong
,0,,
Sao nhiều người chê này chê nọ thế nhỉ.chứ mình xài thấy ok.máy đẹp.pin tốt.vân tay mới đầu mua thì chậm thật.nhưng samsung vừa cập nhật pm ngay 25/8 giờ thì cải thiện rất tốt rồi.nói chung với giá tiền đó thì mình rất hài lòng,5,26/08/2019,Teo pro
,0,,
Bin khỏe cảm biến vân tay quá kém rất bực mình bắt sóng mạng rất kém cứ bị mất kết nối phải tắt nguồn rồi khởi động lại ,1,25/08/2019,Anhminh
Chung số phận với bạn rồi,0,26/08/2019,Ngô minh
,0,,
Sản phẩm xài tương đối ổn đối với người dùng xài cơ bản. Tuy nhiên có môtt số lỗi sau: càm ứng thường xuyên bị loạn. Màn hình mặc dù đã khóa bảo mật và bật tránh vô tình bật màn hình khi bỏ túi nhưng vẫn tự chạm vẫn tự mở khóa khi bỏ túi. Loa tương ổn. Bàn phím thì hơi khó bấm. Còn lại thì ổn. ,3,25/08/2019,Nam Anh
,0,,
"Qua 1 tháng sử dụng mình cảm nhận như sau...
Vân tay bản cập nhật ngày 25-8-2019 đã cải thiện 90%
Camera cũng đã được cải thiện..
Đôi lúc máy hơi nóng chút ( nhưng cũng k sao)
Chiến game trung bình à
Nói chung với mức giá tầm trung này là tốt rồi",5,25/08/2019,Hiển
Máy thiết kế đẹp tất cả điều ok còn vân tay như vậy là được rồi ko như mọi người chê ...,5,03/05/2019,Nguyên
,0,,
"Pin tụt nhanh, chụp hình buổi tối bị nhòe, wifi, 4G hơi yếu. Nhân viên dễ thương, nhiệt tình.",5,02/05/2019,Hiền
Chuẩn pin tụt nhanh,0,03/05/2019,Trường trần
,0,,
Dùng rất ok luôn..ai chưa mua thì mua đi nhé. Mình mua ở ĐMX Ayunpa Gia Lai . nhân viên ở đây tư vấn rất nhiệt tình ,5,02/05/2019,Nguyễn Như Nghĩa
,0,,
"Nhận xét cá nhân
Pin mình dùng 24h rồi mất 45%( chơi 3 trận lq, xem yt tầm 2h còn lại khám phá máy)
Camera ổn, về vân tay quang học thì nên chạm rồi lăn đầu ngón tay 1 tí sẽ đc.
Tiền nào của đó thôi.",5,02/05/2019,Thi
,0,,
Chụp hình nhòe  quá xấu.... cùng 7 triệu nhưng chụp hình quá tệ thú cả đt 4 5 triệu. ,1,02/05/2019,pham nhung
,0,,
Mình để trong túi xong lấy ra giờ cảm ứng không sử dụng được là làm sao?? Adm giải thích cho mình với,1,10/09/2019,Nguyễn Quốc Cường
"Thế giới di động sẽ liên hệ hướng dẫn, khắc phục lỗi sản phẩm",0,11/09/2019,Xong Lê
,0,,
"Chụp hình đẹp, màn super amoled hiển thị đẹp và tươi, máy cầm khá vừa tay, khá ổn ",4,08/09/2019,Huy Nguyen
Từ từ rồi biết,0,10/09/2019,Thiên
,0,,
Dùng ổn định. Dễ chịu. Camera chụp đẹp. Pin thì hiện tại là tốt. Dùng thế này là tốt rồi,5,07/09/2019,Hoàng Anh Tuấn
,0,,
"A50 lỗi xài mạng 4G kém, về vùng nông thôn 1, 2 gạch sóng không chơi game được, phải dùng con J4+ phát Wifi mới chơi game được, mua được 8 ngày, đổi lại 3 lần, đang đau đầu đây! 😤",1,07/09/2019,Minh Hải
"có ai giống mình ko ạ. mua dc 1 tuần, sài bt, tự nhiên sáng nay nó tắt đen thui, mở cách nào cũng ko lên, cắm sạc cũng ko, mở nguồn cũng ko,,, giờ đen thui vậy, tôi thật sự bế tắc, có ai trợ giúp ko ạ",0,12/07/2019,Nguyễn Hằng
,0,,
"Máy chơi game giật lag. Wifi căng đét vào game ping 400+
Cảm ứng kém, vân tay không nhạy.",1,08/07/2019,GIANG
,0,,
"máy loạn cảm ứng, không nhận sim, không nhận thẻ nhớ. Thái đô nhân viên TGDĐ thì ok nhưng chất lượng sản phẩm quá kém. Thất vọng",1,08/07/2019,Nhâm
,0,,
Mình sử dụng được 3 tháng. Mấy hỗ trợ tốt. Ko như mọi người nói. Tầm trung như vay la tot lam rui. Giá như vậy ms tận 3 camera thì có gì bằng. Mình thích cách chăm sóc khách hàng của samsung va thế giới di động,5,07/07/2019,Hùynh phuóc thọ
,0,,
Sao máy mất sóng  chập chờn  mạng thì  yếu  quá  tệ  mất lòng tin với  samsung ,1,06/07/2019,Võ thanh huy
,0,,
,0,,
"Ôi, vân tay thật khủng khiếp, chưa bao giờ thành công mở khoá bằng vân tay. Tưởng lỗi, nhưng lên xem review ai cũng bị thế. 

Còn lại rất tốt. ",4,16/06/2019,Nam
,0,,
"Pin ok, cấu hình đep, tuy nhiên khi lên fb hay xem video chưa được 15 phút thì máy bị lag và lâu lâu cũng đứng máy và thoát ra ngoài ",3,16/06/2019,Vân trần
,0,,
"Bắt sóng wifi, 3g mạnh, loa ngoài nghe to rõ. Choi game liên quân cấu hình cao khá mượt. Thích nhất là các em nhân viên phục vụ tận tình chu đáo ở cầu đôi, đức hòa, long an.",5,13/06/2019,Trường
,0,,
"Máy nhanh hết pin quá ko 4g ,8h nghe gọi khoảng 20p hết 20%pin  thiết kế phim tăng giảm vol hay bị bấm nhầm",2,13/06/2019,Nguyễn văn cử
,0,,
"Máy tạm ổn,chơi game hay bị đứng, bung ra ngoài, hay đơ loạn lung tung, thấy không được rồi chất lượng quá kém,,chốt lại chê mỗi cảm ứng hay loạn thường xuyên, ",3,13/06/2019,Thái
,0,,
"Máy sài mạng kém, chậm và lác, chơi game thì được tháng đầu chơi mượt qua tháng thì bắt mạng ko nỗi vô game có khi không được hoặc lag và chậm
",1,23/11/2019,Đoàn minh quang
,0,,
"Mới mua về vân tay hơi cùi thật nhưng dùng khoảng 1 tháng thì rất tốt, không thua cảm biến cứng là mấy. Pin 4000mAh nhưng chỉ đủ dùng khoảng 1 ngày. Camera có vẻ như màu hơi bị đẩy về gam nóng. Hiệu năng thì chơi game ổn nhưng dùng lâu khoảng 2, 3 ngày không optimise là có giật lag.",4,23/11/2019,Tung
,0,,
"Mới mua 1 tháng mấy ,mà pin nó tuột nhanh lắm,xem phim 45p là tuột 10%, lâu lâu nó hơi loạn cảm ứng và tay đổ mồi hôi thì bấm ko ăn chỉ có cái là sạc nhanh",2,22/11/2019,Anh
"4,5phút có 1% là quá ngon, vậy hao gì hả cụ già",0,23/11/2019,Tài
,0,,
"Chào anh,Dạ trường hợp này anh vui lòng đem sản phẩm ra siêu thị để được hỗ trợ anh nha.Thông tin đến anh.",0,16/04/2019,Hà Tiểu My
,0,,
"Bl này nói về pin nhé các bạn ai đang sái a50 hoặc có ý định mua a50, máy khi mua về các bạn nên trải nghiệm đến lúc pin con 20% thì các bạn sạc 8 tiếng, sạc 8 tiếng khoản 2 đến 3 lần thì pin sẻ cầm rất lâu đấy, cả con M20 củng vậy nửa bạn cứ sạc 8 tiếng thì pin sài dc từ 2 đến 3 ngày lận đấy, ko tin các bạn cứ làm thử xem rùi cho mình phản hồi nhé.",4,16/04/2019,Lý
E xai đc 6 ngày rồi. Vậy giờ sạc như a nói đc k ạ,0,17/04/2019,Khánh phương
Em sạc 2 lần 8 tiếng vẫn tuột pin nhanh ,0,17/04/2019,Anh
Em sạc 2 lần 8 tiếng pin vẫn nhanh tuột,0,17/04/2019,Anh
Vào mang co sai dc 2 ngày  k,0,17/04/2019,Điep
"Bạn thử làm lại thử xem, mình xài 4g mức trung bình cả ngày hết 50% thui",0,17/04/2019,Lý
Nếu sài mức trung bình ko game nhìu thì dc 2 ngày đây bạn.,0,17/04/2019,Lý
"di động là dùng nghe gọi, đôi lúc hổ trợ giải trí, bàn thân nó ko phải chuyên dụng để giải trí, a/c mua máy mà online suốt thì pin nào mà chịu nỗi",0,20/04/2019,Tranchithuong
,0,,
"Cảm nhận sau 2 ngày sử dụng: Máy đẹp, sang trọng, màn hình rộng hơn so với mình tưởng tượng, chơi game mượt, sóng wf tốt, camra chụp hình cực đẹp lun, còn về cảm biết vân tay sau khi cập nhật thì nhạy hơn hẳn, nhận diện khuôn mặt cực nhanh có điều nhắm mắt cũng mở khó được không có tính bảo mật cao, về pin thì tụt hơi nhanh so với dự định nhưng vẫn ở mức ổn cho 1 ngày dùng liên tục. 
Còn về sau thì chưa biết đây chỉ là cảm nhận của mình sâu 2 ngày dùng thôi. Với tầm giá như thế này thì đã quá tốt rồi. ",5,16/04/2019,Hiếu
,0,,
Mới mua vài tiếng. Đánh giá ban đầu mọi thứ đều hoàn hảo nguyên chức năng cảm biến vân tay thì ko ngửi nổi. Cài 1 ngón cái mà 9 ngón còn lại + 10 ngón chân đều mở đc. Nhờ người ngoài thử cũng mở được luôn. Vậy mà gọi là bảo mật ạ.?,1,15/04/2019,Phan ngọc Sơn
,0,,
A50 dùng tốt mọi thứ đều ổn cả chỉ có cái là dù pin 4000mah nhưng rất nhanh hết pin.. vừa chơi vữa nghỉ từ sáng đến chiều là phải sạc lại rồi. Dù để không không dùng pin vẫn hao nhanh. Hơi thất vọng điểm pin,4,23/08/2019,Phạm ngọc út
,0,,
mới mua 1 tuần mà máy đã bị đơ giờ mình còn k khởi động đc.van tay thì chậm.bắt wifi yếu.,1,22/08/2019,Mình
Ko hiểu sao máy tốt thế mà ai cũng chê :v,0,23/08/2019,Luân
,0,,
"Nhìn chung thì điện thoại ổn trong tầm giá, pin trâu, máy khỏe đủ chơi game nặng khung hình cao, có điều bật chức năng ""vô tình chạm màn hình"" nhưng màn hình vẫn sáng, hơi hao pin khoản này 1 xíu.
Mua được 1 tuần thấy mấy ok, miếng dán màn hình lỡ tróc 1 xíu không biết ĐMX có dán lại miễn phí không?",4,21/08/2019,DQ Tuyến
,0,,
mình dùng cũng được hơn 5 tháng rồi nói chung là máy cũng ổn trong tầm giá ,4,21/08/2019,ĐÀI
,0,,
"A50 bắt sóng 3g, 4g quá kém .những máy khác cùng cường độ sóng chơi game tốt còn A50 mình mới mua thì tịt",1,01/05/2019,Manh
,0,,
Đề nghị samsumg cải thiện vân tay... vân tay ít nhận.... còn lại ok... cho 5 sao ủng hộ ,5,01/05/2019,Nguyễn Quốc Quân
,0,,
Máy này tệ nhất phần loa..loa trong va ngoài bật lớn bị rung mặt sau máy làm cầm rất khó chịu vì thân máy làm bằng nhựa..cấu hình thì máy xài hơi giật nhưng chấp nhận được..chơi game không mượt..,2,01/05/2019,Nguyễn Hải
,0,,
Có anh e nào dùng rồi quay camera đằng buổi tối bị vỡ hình . Nhoè ko??? Có phải máy mình bị hay a50 cái nào cũng thế ??,3,30/04/2019,Tùng
MÁY MÌNH MỚI MUA CŨNG BỊ VẬY NHÒE HÌNH. KO  NET . ĐANG ĐỊNH ĐỔI CÁI KHÁC NÈ,0,02/05/2019,PHAM THI TUYET NHUNG
,0,,
"Pin trâu, chơi game bao mượt luôn. Còn mấy ông la vân tay chậm thì đúng cmnr vân tay quang học mà đòi nhanh như vân tay siêu âm à?",5,30/04/2019,Sinh Lê
Thế giới di động đã ghi nhận và chuyển bộ phận liên quan hỗ trợ quý khách,0,08/09/2019,Xong Lê
Lắp 1 sim thôi nha.dòng con này bắt sóng kém,0,08/09/2019,Dut
Công nhận sóng yếu  tốc độ cao mà như ko ý,0,10/09/2019,Mi h
Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách,0,16/09/2019,Xong Lê
,0,,
"Dùng khoảng nữa tháng cảm thấy máy cũng khá ok. Sóng wifi hay sim thì cũng tương đối không đến nỗi yếu như mấy thánh kia phán. Camera chụp phải nói là đẹp.pin bao trâu, chơi các game nặng hiện nay cũng thấy khá mượt, nói chung dùng tốt ",4,07/09/2019,Phạm Vinh
Giá hiện ngay bây giờ là 6.490.000đ hả shop,0,07/09/2019,Bao pham
Lúc mới ra bị thôi chứ ss càng cập nhật là fix hết lỗi rồi,0,08/09/2019,Lol
Sao e thấy pin mau xuống quá v,0,09/09/2019,Ngâ
"Đã mua và đã bán.
Sử dụng 1 tháng thì máy bị đơ , nhiễu bàn phím , đang chơi game trả lời tn zalo thì bị đơ màn hình bấm thoát ra màn hình chính thì giật giật khoảng 30giây mới ra đc, aci nhân viên rất nhiệt tình và vui vẻ",1,06/07/2019,Khang
a50 vửa mua xong. h bán lại bnh là hợp lí bạn. t cũng muốn bán. vì máy dùng chán quá,0,11/07/2019,anh
,0,,
Mới mua sáng nay.k hiểu sao vào game liên quân thì mạng cứ chập chờn nút di chuyển trog game k nhậy.chơi game k nhậy tí nào😡😡,2,05/07/2019,Lò văn thủy
Chơi game nên mua mấy con sài chip snap hay là iphone mới ngon. Chứ chip exynox game nó  không tối ưu  lắm.  Mấy con samsung dòng s cũng vậy à.,0,06/07/2019,Nguyễn Phú Cường
,0,,
"Sản phẩn đẹp,pin ok,came chụp được,khí chịu mỗi vân tay k nhạy ,ai cho xin cách khắc phục với ạ",5,04/07/2019,Nguyễn văn Ổn
Bạn cài vân tay một ngón mà nhiều lần là cũng nhạy lắm ,0,06/07/2019,Nguyễn Phú Cường
"bạn cập nhật phiên bản phần mềm mới chưa, nếu chưa thì cập nhật vào thì nó sẽ fix các lỗi đó thôi",0,16/06/2019,Nguyễn Thanh Trường
,0,,
"Nhìn chung thì máy khá tốt. Cảm biến vân tay theo như cảm nhận của em thì nó nó k tệ như mọi người nhận xét, nó khá nhạy. Pin sử dụng được 1 ngày. Camera trước đúng là có hơi ám vàng, Cam sau thì tuyệt. Game thì tương đối ổn lâu lâu có chút lag. Nhìn chung thì máy tầm trung như này cũng là tốt rồi.",4,13/06/2019,Phạm Lê An
,0,,
Đánh giá 1 cách khách quan. Đúng là mở khóa vân tay chậm hơn so với cảm ứng bằng phím vật lí nhưng cái đó ko mấy quan trọng. Nhận diện khuôn mặt rất ok. Chơi liên quân ko giật lag. Pin trâu. Mỗi tội loa hơi nhỏ. Mới xài dc mấy ngày thấy hài lòng còn lâu dài thì chưa biết,5,12/06/2019,Thức
,0,,
Lỗi 3g 4g yếu mong tgdd đề xuất về phía samsung cập nhật bản vá lỗi mạng 3g 4g  samsung bắt sóng kém nhất trong các hãng điện thoại,3,11/06/2019,Linh
Minh cung bị vậy ,0,13/06/2019,Pham huong
,0,,
"Cảm biến vân tay không nhạy . ngoài ra không vấn đề gì, tất cả đều ổn ,tạm hài lòng ",4,11/06/2019,Ha thanh hoai nam
Mình thấy vân tay nhạy mà minh cập nhật hết luôn để 2 cái vân tay vẫn nhạy ai cũng bảo nó không nhạy :((,5,22/11/2019,Huy
,0,,
Ae đừng mog chờ gì cái vụ vân tay. Có cho oai thôi. Pin hơi bị chán.dùng tạm thôi thì dc,3,19/11/2019,Bắc
,0,,
"Khá tốt, trừ cái vân tay hơi kém thì mọi thứ đều ổn. Kết nối mạng khá. Pin dùng tác vụ cơ bản, lâu lâu xem youtube, đọc tài liệu, facebook cũng gần dc 2 ngày. ",4,18/11/2019,Nguyễn Trung Hiếu
"đồng ý, mình vừa mua 2 ngày, thấy vân cũng k nhạy",0,19/11/2019,LẠI THÀNH TUẤN
,0,,
"sản phẩm bình thường, vân tay với nhận diện khuôn mặt quá kém, pin tạm ổn, lướt tin tức bình thường không tuột nhiều pin. chơi game sẽ tuột pin nhanh hơn. nói chung sản phẩm này chỉ phù hợp với giá tầm trung, phù hợp với hs sv hơn những người đi làm. mình mua lúc giảm giá còn 4tr9 thì số tiền bỏ ra hợp lý, còn giá gốc gần 7tr để mua dth này thì không phù hợp",3,16/11/2019,Huỳnh Gia Tuệ
"Bạn muốn xài smartphone thì trước tiên học cách tối ưu hóa cho điện thoại trước đã bạn , mình mua lúc a50 vừa ra mắt tới giờ vẫn ổn , ngày bình quân đánh 20 trận liên quân , tiktok , fb , zalo các kiểu thì tối về vẫn còn trên dưới 30% pin.",0,16/11/2019,Lê bình
"Lê bình, chắc bạn để độ sáng 20%, âm lượng 50, bật tiết kiệm pin, nên mới dùng đc lâu vậy, chứ như tôi max âm thanh, 55% độ sáng, ko bật tiết kiệm pin, thì sẽ nhanh hết hơn. Đấy là nhu cầu của tôi",0,17/11/2019,Tài
Mua đc giá 4.9 triệu là tốt rồi.mình đợi mãi mà nó có giảm giá đc có 1 triệu chán quá ,0,20/11/2019,Hà tài
"Cellphones bán 4tr8 kìa, vnpay còn 4tr7 đấy",0,22/11/2019,Tài
Cái vụ vân tay mới thật không có còn hơn.  Quá tệ,0,09/02/2020,Tin tin
,0,,
"Mình mua máy được hơn 1 tháng thấy máy xài rất tốt, ko như mọi người đã bình luận, camera rất sáng, chưa bao giờ đứng máy hay bị giật, nói chung mọi thứ đều rất hài lòng.",5,16/11/2019,Dung Tran
Gì kỳ vậy ta? ko lẻ nó dỡ dữ vậy?,0,18/04/2019,Phương Cọp
,0,,
Máy hơi nóng khi xem youtube lướt fb.mong samsung co bản cập nhật cho trải nghiệt tốt hơn nữa,3,15/04/2019,Mạnh hoàng tiến
Máy có hay bị nóng với nhanh rút pin kh ạ,0,16/04/2019,Minh
:),0,16/04/2019,PP
,0,,
"Sản phẩm bề ngoài khá đẹp và sang trọng, đặc biệt là cảm ứng vân tay rất đặc biệt. Nhưng có một số lỗi như nhận diện khuôn mặt mà nhắm mắt vẫn mở được, thỉnh thoáng lại bị đơ lỗi nhẹ phải khởi động lại máy. Nếu ai muốn một chiếc điện thoại đẹp giá vừa túi tiền thì nên mua.",3,15/04/2019,Vũ Vân Hải Hà
Đó là nhận diện khuôn mặt chứ ko phải món mắt nha bạn,0,16/04/2019,Lý
Bị lỗi đóng hệ thống jo tắt ko mở nguồn đc luôn. Đt thì nóng lên,0,17/04/2019,Linh
,0,,
,0,,
"Em mới tậu con màu trắng về xài được 3ngày cảm thấy máy mượt, vân tay tạm ổn, loa lớn chỉ có đều pin tụt nhanh ngày đầu mình không tùy chỉnh gì để qua đêm thì tuột hết 9% sau 8 tiếng (mình không kết nối wifi, 3g) sang ngày thứ 2 mình tắt alway display, tắt bớt mấy tính năng này kia với mình cập nhật bản phần mềm thì pin tuột khoảng 4% sau 8tiếng mình lên zalo vs thao tác này kia trên máy mà tầm 6 7 phút là hết 1%. Mình đang phân vân không biết tiếp tục cập nhật bản phần mềm mới thì hiệu suất pin có cải thiện không? Bạn nào biết tư vấn giúp mk với.",3,20/08/2019,Uyên
Ui pin mới nó vậy...mình mua hàng qsd wifi độ sáng 30%  cứ 10% xem youtube trung bình dk 1h30p còn lướt web đọc báo chắc hơn...,0,20/08/2019,Mạnh
Nên cập nhật đi bạn. Pin sẽ trâu hơn vẫn tay sẽ ok hơn 👍,0,20/08/2019,Đông
Nên cập nhật bản mới nhất nha bạn. Camere tốt hơn vân tay ok hơn pin trâu hơn nữa 👍,0,20/08/2019,Đông
,0,,
"Ai mua samsung hiện nay nên suy nghĩ căn nhắc lại đặt biệt là a50, bắt sóng thua cái 1280, mua về tốn tiền ngu đi đổi lại mất 20%🤣.",1,18/08/2019,Đạt
"Mình xài 1 tháng rồi mà ko có vấn đề gì, chỉ có là lâu lâu mở ứng dung hơi bị lag nhưng ko ảnh hưởng tới trải ngiệm chắc là do samsung chưa cập nhật phần mềm",0,19/08/2019,Minh
Bạn đổi lại sau mấy ngày dùng vậy? ,0,19/08/2019,Hương
,0,,
"Mình mua máy nay được 4 ngày ròi . Camera và pin điều ok , về vân tay thì mình nghĩ là do mấy anh chị em mình dùm chưa quen , và cứ nói máy lỗi này nọ mình thì thấy khá ổn với tầm giá này pin thì dùng được 2 ngày nhân viên tư vấn nhiệt tình vui vẻ trừ trước tới nay mình luôn mua rất nhiều sản phẩm tại thegioididong. ",5,30/04/2019,Nguyễn Thị Ngọc Giàu
,0,,
"Điện thoại như c** chơi có game ff không mà cũng lag máy 
Pin sài thì mau hết  .cảm ứng vân tay thì không ăn ",1,30/04/2019,Đặng Nhật Hào
,0,,
Pin nhanh hết vân tay rở k tả nổi mới mua 2 ngày nay . tệ hơn a5 phần mềm thua a5 2016,1,29/04/2019,Nguyễn văn hậu
,0,,
"Chơi game toàn mất mạng,hay bị đơ máy. Pin thì nhanh hết quá.vân tay bấm 10 phát may ra trúng đc phát.haizzzz.lỗi quá",2,29/04/2019,Trần tuyến
Mất mạng là văng ra ă hã bạn,0,29/04/2019,Tiên
,0,,
Không hiểu sao mạng 3g H+ sài được 1 chúc hoặc bỏ qua đêm là chuyển về 2g E+. Phải tắt nguồn mở máy lại mới nổi H+ lên.ban đầu tưởng là tại nhà mạng nên đổi sim nhà mạng khác vào sử dụng vẫn y như vậy. Không lẻ mỗi lần nó chuyên về E+ chạy rất là chậm rồi phải tắt máy khởi động lại hay sao.mong thế giới di đông trả lời cho tôi biết nguyên nhân. Không thì đổi máy khác.,1,29/04/2019,Phạm văn hải
,0,,
mới lấy máy ngày 6/7. cảm nhận là máy chạy rất ok. các tác vụ dùng ổn định. các vấn đề lỗi máy qua 1 ngày sử dụng chưa gặp phải. ,5,07/09/2019,quyên
,0,,
Sau 1 tháng sử dụng.a50.mọi thứ tốt nhung về phần pin thì xuống rất nhanh cho dù đã tắt wf và dữ liệu di động.còn 1 phần không hài lòng đó là điện thoại báo sạc chận.tôi dùng củ sạc và dây sạc theo máy.vẫn báo vậy,4,04/09/2019,Trọng tình
,0,,
"Mình cũng mới mua mà cảm biến vân tay không nhạy lắm, phải lau qua mới mở được, cảm biến hơi chậm, mình có nên đem đổi lại không shop",5,03/09/2019,Nguyên
Update phiên bản mới nhất là nhạy liền ấy bạn ;),0,05/09/2019,Quang
,0,,
"Mới mua hôm qua, cái nhìn đầu tiên là thiết đẹp mắt. Cằm nắm ôm tay . Pin ổn . Cảm biến vân tay khôn mặt nhanh . Cảm ứng rất mượt . Camera trong tầm giá này thì ok . Luôn trung thàng với samsung . Nhân viên bên tgdd phục vụ tận tình",5,02/09/2019,Nghia
,0,,
"Thiết kế máy đẹp, trải nghiệm mượt mà, nhưng mà khóa vân tay với nhận diện khuôn mặt chưa thật sự nhạy nhưng với tầm giá này khá ok rồi. ",5,01/09/2019,Linh
,0,,
,0,,
"Mình xài cái a50 này đúng 1 tuần lễ rồi, mình thấy chiếc đth tầm trung mà nv là quá tốt rồi, có nhiều chức năng, pin khá trâu, cảm ứng rất mượt, chơi game LQ, Pugb rất ổn luôn nha, tuyệtttttttttttttt",5,04/07/2019,Gia Bảo
,0,,
"Pin trâu khỏe,chụp ảnh nét,nghe nhạc loa to wifi bắt cũng khỏe nữa,con cau hinh may cungx dqep",5,03/07/2019,Nguyễn Văn Dược
,0,,
"4G của máy quá tệ, liên tục phải khởi động lại để kết nối, còn thảm hơn con Huawei GR2017 cũ kỹ của mình nữa. Sơn viền bị tróc mặc dù bọc ốp và mới dùng được 3 tuần, chứng tỏ chất lượng gia công bề mặt quá kém. 
1 sao cho sản phẩm tầm trung quá tệ hại của Samsung ",1,03/07/2019,Nam Anh
,0,,
Mình mới mua hôm qua.sài rất ổn với lại người nhà sài con này cũng nhiều.pin phải nói là trâu chơi liên quân 1 trận 10-15p mất chỉ 3%pin. Mọi thứ đều tuyệt vời. Tôi góp ý rất chân thành ae cứ yên tâm. Nhân viên chu đáo nhiệt tình vui vẻ .nói chung rất hài lòng.,5,02/07/2019,Lê Văn Hiền
,0,,
Máy quá tệ mới qua 1 tháng đỗi tra đã lỗi ko vào đ wifi mất sạc nhanh lỗi cảm ức ... báo độ ẩm usb đi bảo hành thì bị đổ lỗi sống ở môi trường nhiều độ ẩm ...trong tg bảo hành thì phải tốn phí sửa chữa... thật qua thất vọng ,1,01/07/2019,Bùi vắn sống
Chạy mạng 3g và wifi rất kém chơi game liên quân lag ko đi đc..cẩm thấy tệ cho hãng samsung a50..tgdd phản hồi về hãng để có bản cập nhật sửa lỗi,1,25/05/2019,Nguyễn triển
"máy đẹp, dùng ổn. ngại mỗi cái cảm biến vân tay ko ra gì. có bản cập nhật nào cho vân tay thì tốt. ",3,02/04/2019,thắng
,0,,
"Mọi thứ OK, 4G mượt. Nhưng có vài điểm ko bik bị gì?
1. Camera mặc định 25Mp, ko thể chỉnh lại kích thước khác
2. Gmail ko tự đồng bộ mail dù đã bật chế dịp tự dồng bộ và đồng bộ hóa. Điều này ảnh hưởng rất lớn đến những ai làm việc tương tác mail nhiều như VP, Công sở, cntt, nv,gv..v.v.",4,11/06/2019,Nguyễn Nhựt Thanh
,0,,
"Máy chạy chậm, loạn cảm ứng, pin hao nhanh. Mới sd được 25 ngày mà thấy thất vọng.",1,11/06/2019,Nhâm nguyễn
,0,,
Sóng 4G  quá kém trước dùng note 7 game vù vù đỗi wua e này giật lang ko chịu được ko chơi đc lq luôn buồn khóc,2,11/06/2019,Đoàn Quốc khại
,0,,
"Mua sam sung a50 được một tháng. Pin sử dụng được lâu. Loa bị rè k nghe được. 
",3,10/06/2019,Vũ thu hồng
,0,,
Giống mình vậy...sài mọi thứ đều ok,0,17/11/2019,Quý
,0,,
"Nói chung chỉ có thể nói là tạm được, máy rất hay giật lác, loạn cảm ứng, lỗi vân tay tùm lum các thứ, giá niêm yết lúc trước gần 7tr mà xài còn thua điện thoại 5tr, rất thất vọng với samsung",2,14/11/2019,Mã Duy Thành
Bạn mua loại cao cấp xem sao,0,16/11/2019,Manh
,0,,
Mua được 4 ngày cảm ứng nhạy mở khóa bằng vân tay và khuôn mặt hơi kém nói chung là tạm ổn ,4,14/11/2019,Le đức việt
,0,,
"Sản phẩm đã mua được 4 tháng. 2.5 tháng đầu xài ổn, máy hoạt động tốt. Tháng thứ 3 bắt đầu xảy ra tình trạng loạn cảm ứng, đơ máy -> mang ra trung tâm bảo hành Samsung chạy lại phần mềm. Sau đó thì vẫn tiếp tục xảy ra hiện tượng loạn cảm ứng..",3,12/11/2019,Nguyễn Phước Lập
Đang tính mua nhưng mọi người đánh giá ko tốt nên cũng băn khoăn ko biết mua con ss gì nữa. Chẳng lẽ mua M20 pin 5000???,0,14/11/2019,Hà văn tài
"Xiaomi, realme mà xài bác ơi. Mình thấy samsung giá cao mà toàn lỗi. ",0,14/12/2019,Len
Sóng 4g quá kém chọn chỉ dùng 3g thì sim bị mất sóng lun chơi lq fps thì rất ổn định nhưg ping thì giật k tả đk.chơi game max giật,1,15/04/2019,Nguyên luân
"do mạng di động của bạn chứ đâu phải do máy, mình mạng vietnammobile, vina, mobi mà 4G khỏe re có vấn đề gì đâu, coi lại chỗ phủ sóng mạng di động chỗ bạn ấy, chứ máy liên quan gì.",0,22/08/2019,Dương Quốc Tuyến
,0,,
"Máy xài rất tốt,camera ngon,pin cũng có thể gọi là trâu,sạc pin khoảng 1h30p,chơi liên quân luôn đạt fps từ 58 đến 60. Mấy người chê vì chỉ tiêu của họ luôn là trái táo khuyết nên chưa đáp ứng được nhu cầu của họ, gánh màn hình full hd+ nên pin tụt nhanh phải chịu,xài cũng mờ cả mắt mới hết pin, tuyệt vời trong tầm giá này.",5,15/04/2019,Jordan Trần
bạn dùng máy tiếng thì hết pin thế,0,15/04/2019,vũ phương
